commit	val_bpb	memory_gb	status	description
2fb7283	1.296352	11.4	keep	MATRIX_LR 0.04->0.05 (Muon)
932be52	1.273782	11.4	keep	MATRIX_LR 0.05->0.07
9f980f0	1.264579	11.4	keep	MATRIX_LR 0.07->0.10
c7946f5	1.279176	11.4	discard	MATRIX_LR 0.10->0.13 (overshoot, reverted)
7c7d232	1.263939	11.4	keep	EMBEDDING_LR 0.6->0.8 (marginal -0.0006)
8081829	1.356888	11.4	discard	WARMUP_RATIO 0.0->0.1 (wastes budget at fixed 5min, reverted)
3360043	1.268674	11.4	discard	WINDOW_PATTERN SSSL->SSLL (more global attn, slower, reverted)
741d0ae	1.279058	11.4	discard	ADAM_BETAS beta1 0.8->0.9 (reverted)
1be2c9f	1.272366	11.4	discard	WEIGHT_DECAY 0.2->0.05 (overfits short run, reverted)
1fba22b	1.247866	11.4	keep	UNEMBEDDING_LR 0.004->0.008 (new best -0.016)
87d6764	1.277463	11.4	discard	UNEMBEDDING_LR 0.008->0.015 (overshoot, reverted)
7c70731	1.191739	11.4	keep	ASPECT_RATIO 64->48 (narrower=175 steps vs 125, new best -0.056)
3e82ad0	1.191705	8.8	keep	ASPECT_RATIO 48->40 (tie, less VRAM; curve bottomed ~48)
07217d7	1.308360	10.5	discard	DEPTH 8->10 (only 104 steps, depth bad under fixed budget, reverted)
0a4e955	1.192794	8.8	discard	MATRIX_LR 0.13 at narrow (tie-worse, 0.10 still optimal, reverted)
3e82ad0	1.192794	8.8	discard	MATRIX_LR 0.13 at narrow (tie-worse, 0.10 still optimal, reverted)
